Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Text,Standard,1,,,,,,,
3,Text,Standard,1,,,,,,,
4,Text,Standard,1,,,,,,,Logo
5,Text,Standard,1,,,,,,,About Us	Services	Industries	Our Team	Contact Us	
6,Text,Standard,1,,,,,,,	Anchor Links
7,Text,Standard,1,,,,,,,Area Name
8,Text,Standard,1,,,,,,,Footer
9,Text,Standard,1,,,,,,,Area Description
10,Text,Standard,1,,,,,,,
11,Text,Standard,1,,,,,,,
12,Text,Standard,1,,,,,,,Service 1
13,Text,Standard,1,,,,,,,Service 2
14,Text,Standard,1,,,,,,,Service 3
15,Merge,Flowchart Shapes,1,,,,,,,
16,Merge,Flowchart Shapes,1,,,,,,,
17,Merge,Flowchart Shapes,1,,,,,,,
18,Merge,Flowchart Shapes,1,,,,,,,
19,Text,Standard,1,,,,,,,Link To HOME
20,Text,Standard,1,,,,,,,Landmarks
21,Text,Standard,1,,,,,,,Structural Links
22,Curly Brace Note,Flowchart Shapes,1,,,,,,,
23,Curly Brace Note,Flowchart Shapes,1,,,,,,,
24,Text,Standard,1,,,,,,,Transitionâ€¨Links
25,Text,Standard,1,,,,,,,
26,Text,Standard,1,,,,,,,
27,Text,Standard,1,,,,,,,
28,Text,Standard,1,,,,,,,
29,Text,Standard,1,,,,,,,
30,Text,Standard,1,,,,,,,"Transition Link
(Social Links)"
31,Text,Standard,1,,,,,,,
32,Text,Standard,1,,,,,,,Team Member 1
33,Text,Standard,1,,,,,,,Team Member 2
34,Text,Standard,1,,,,,,,Team Member 3
35,Merge,Flowchart Shapes,1,,,,,,,
36,Merge,Flowchart Shapes,1,,,,,,,
37,Curly Brace Note,Flowchart Shapes,1,,,,,,,
38,Text,Standard,1,,,,,,,Case Study 1
39,Text,Standard,1,,,,,,,Case Study 2
40,Text,Standard,1,,,,,,,Case Study 3
41,Line,,1,,,19,4,None,Arrow,
42,Line,,1,,,20,5,None,Arrow,
43,Line,,1,,,21,6,None,Arrow,
44,Line,,1,,,24,23,None,Arrow,
45,Line,,1,,,30,25,None,Arrow,
46,Line,,1,,,24,22,None,Arrow,
47,Line,,1,,,24,37,None,Arrow,